"filename", "language", "JSON", "JSON with Comments", "YAML", "TypeScript", "Groovy", "Batch", "PostCSS", "Properties", "XML", "JavaScript", "TypeScript JSX", "Markdown", "Java", "HTML", "comment", "blank", "total"
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\income\IngresoFormModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 188, 0, 0, 0, 4, 25, 217
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\income\IngresosPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 11, 25, 195
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\income\IngresosTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 2, 7, 86
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\income\InvoiceDetailForm.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\income\InvoiceDetailForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 6, 16, 156
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\income\InvoiceDetailTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 2, 10, 112
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\inventory-outputs\InventoryOutputDetailPage.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 4, 20, 111
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\inventory-outputs\InventoryOutputDetailPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 4, 14, 198
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\inventory-outputs\InventoryOutputFormModal.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 5, 25, 170
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\inventory-outputs\InventoryOutputFormModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 226, 0, 0, 0, 7, 27, 260
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\inventory-outputs\InventoryOutputsPage.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 12, 68
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\inventory-outputs\InventoryOutputsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 211, 0, 0, 0, 5, 32, 248
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\inventory-outputs\InventoryOutputsTable.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 3, 26
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\inventory-outputs\InventoryOutputsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 3, 4, 107
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\movements\MovimientoFormModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 5, 28, 223
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\movements\MovimientosPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 4, 19, 156
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\movements\MovimientosTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 2, 7, 77
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\my-routes\DriverGuidesPage.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 11, 33, 268
